Episode,Score,Steps,Epsilon,GhostsEaten
656,540,228,0.7691629033544347,0
657,60,47,0.768855238193093,0
658,320,247,0.7685476960978158,0
659,340,125,0.7682402770193767,0
660,540,282,0.767932980908569,0
661,230,125,0.7676258077162056,0
662,80,21,0.7673187573931192,0
663,310,148,0.7670118298901619,0
664,100,84,0.7667050251582059,0
665,30,10,0.7663983431481427,0
666,280,85,0.7660917838108835,0
667,290,345,0.7657853470973591,0
668,170,108,0.7654790329585203,0
669,210,94,0.7651728413453369,0
670,280,157,0.7648667722087988,0
671,70,25,0.7645608254999153,0
672,20,6,0.7642550011697155,0
673,120,51,0.7639492991692476,0
674,120,36,0.7636437194495799,0
675,300,120,0.7633382619618001,0
676,270,72,0.7630329266570154,0
677,320,162,0.7627277134863526,0
678,100,87,0.762422622400958,0
679,40,19,0.7621176533519977,0
680,110,46,0.7618128062906568,0
681,120,104,0.7615080811681406,0
682,100,71,0.7612034779356734,0
683,100,46,0.7608989965444992,0
684,310,219,0.7605946369458815,0
685,40,20,0.7602903990911032,0
686,300,183,0.7599862829314668,0
687,100,37,0.7596822884182942,0
688,500,165,0.759378415502927,0
689,330,112,0.7590746641367259,0
690,310,80,0.7587710342710712,0
691,260,146,0.7584675258573628,0
692,510,169,0.7581641388470198,0
693,300,133,0.7578608731914811,0
694,30,5,0.7575577288422045,0
695,330,144,0.7572547057506677,0
696,630,12,0.7569518038683675,0
697,510,201,0.7566490231468201,0
698,230,174,0.7563463635375615,0
699,500,180,0.7560438249921465,0
700,60,42,0.7557414074621497,0
701,390,159,0.7554391108991648,0
702,470,162,0.7551369352548052,0
703,280,395,0.7548348804807034,0
704,50,22,0.7545329465285111,0
705,290,112,0.7542311333498998,0
706,90,36,0.7539294408965599,0
707,240,116,0.7536278691202013,0
708,350,97,0.7533264179725533,0
709,110,32,0.7530250874053643,0
710,310,260,0.7527238773704023,0
711,60,36,0.7524227878194542,0
712,300,100,0.7521218187043264,0
713,90,32,0.7518209699768447,0
714,190,69,0.751520241588854,0
715,290,106,0.7512196334922185,0
716,320,119,0.7509191456388217,0
717,500,210,0.7506187779805662,0
718,310,180,0.750318530469374,0
719,330,178,0.7500184030571863,0
720,100,28,0.7497183956959634,0
721,150,60,0.7494185083376851,0
722,350,162,0.74911874093435,0
723,290,113,0.7488190934379764,0
724,140,88,0.7485195658006012,0
725,100,118,0.748220157974281,0
726,80,32,0.7479208699110913,0
727,360,251,0.7476217015631269,0
728,380,245,0.7473226528825017,0
729,50,14,0.7470237238213487,0
730,170,95,0.7467249143318202,0
731,180,144,0.7464262243660875,0
732,310,96,0.7461276538763412,0
733,90,109,0.7458292028147907,0
734,300,96,0.7455308711336648,0
735,70,23,0.7452326587852114,0
736,480,216,0.7449345657216974,0
737,300,126,0.7446365918954088,0
738,120,90,0.7443387372586506,0
739,220,208,0.7440410017637472,0
740,320,123,0.7437433853630417,0
741,120,99,0.7434458880088965,0
742,310,154,0.7431485096536931,0
743,300,82,0.7428512502498316,0
744,340,136,0.7425541097497317,0
745,60,19,0.7422570881058318,0
746,160,35,0.7419601852705895,0
747,300,127,0.7416634011964813,0
748,110,35,0.7413667358360028,0
749,200,102,0.7410701891416684,0
750,200,91,0.7407737610660118,0
751,220,122,0.7404774515615854,0
752,290,84,0.7401812605809608,0
753,1040,125,0.7398851880767284,1
754,340,211,0.7395892340014978,0
755,280,69,0.7392933983078972,0
756,240,65,0.7389976809485741,0
757,250,157,0.7387020818761947,0
758,60,23,0.7384066010434442,0
759,320,124,0.738111238403027,0
760,100,111,0.7378159939076657,0
761,140,120,0.7375208675101027,0
762,160,66,0.7372258591630987,0
763,50,13,0.7369309688194334,0
764,70,23,0.7366361964319057,0
765,290,245,0.736341541953333,0
766,50,17,0.7360470053365518,0
767,100,39,0.7357525865344172,0
768,200,149,0.7354582854998035,0
769,120,72,0.7351641021856037,0
770,340,140,0.7348700365447295,0
771,130,37,0.7345760885301116,0
772,310,213,0.7342822580946996,0
773,260,220,0.7339885451914617,0
774,280,225,0.7336949497733852,0
775,310,108,0.7334014717934759,0
776,290,89,0.7331081112047586,0
